	iYLI649_ID	iYLI649_Name	iYali_ID	iYali_Name	iYli21_ID	iYli21_Name
1673			y003253	ergosteryl ester hydrolase (18:1), lipid particle		
1674			y003254	episteryl ester hydrolase (16:1), lipid particle		
1675			y003255	episteryl ester hydrolase (18:1), lipid particle		
1676			y003256	fecosteryl ester hydrolase (16:1), lipid particle		
1677			y003257	fecosteryl ester hydrolase (18:1), lipid particle		
1678			y003258	lanosteryl ester hydrolase (16:1), lipid particle		
1679			y003259	lanosteryl ester hydrolase (18:1), lipid particle		
1680			y003260	zymosteryl ester hydrolase (16:1), lipid particle		
1681			y003261	zymosteryl ester hydrolase (18:1), lipid particle		
1682			y003262	zymosteryl ester hydrolase (16:1), cell envelope		
1683			y003263	zymosteryl ester hydrolase (18:1), cell envelope		
1684			y003508	laurate transport, cytoplasm-ER membrane		
1685			y003509	myristate transport, cytoplasm-ER membrane		
1686			y003510	palmitate transport, cytoplasm-ER membrane		
1687			y003511	palmitoleate transport, cytoplasm-ER membrane		
1688			y003512	stearate transport, cytoplasm-ER membrane		
1689			y003513	oleate transport, cytoplasm-ER membrane		
1690			y003514	malonyl-CoA transport, cytoplasm-ER membrane		
1691			y003515	lauroyl-CoA transport, cytoplasm-ER membrane		
1692			y003516	myristoyl-CoA transport, cytoplasm-ER membrane		
1693			y003517	palmitoyl-CoA transport, cytoplasm-ER membrane		
1694			y003518	palmitoleoyl-CoA transport, cytoplasm-ER membrane		
1695			y003519	stearoyl-CoA transport, cytoplasm-ER membrane		
1696			y003520	oleoyl-CoA transport, cytoplasm-ER membrane		
1697			y003521	icosanoyl-CoA transport, cytoplasm-ER membrane		
1698			y003522	docosanoyl-CoA transport, cytoplasm-ER membrane		
1699			y003523	tetracosanoyl-CoA transport, cytoplasm-ER membrane		
1700			y003524	hexacosanoyl-CoA transport, cytoplasm-ER membrane		
1701			y003525	H+ transport, cytoplasm-ER membrane		
1702			y003526	H2O transport, cytoplasm-ER membrane		
1703			y003527	CO2 transport, cytoplasm-ER membrane		
1704			y003528	coenzyme A transport, cytoplasm-ER membrane		
1705			y003529	NADPH transport, cytoplasm-ER membrane		
1706			y003530	NADP(+) transport, cytoplasm-ER membrane		
1707			y003531	O2 transport, cytoplasm-ER membrane		
1708			y003532	NADH transport, cytoplasm-ER membrane		
1709			y003533	NAD transport, cytoplasm-ER membrane		
1710			y003534	glycerol 3-phosphate transport, cytoplasm-ER membrane		
1711			y003535	dihydroxyacetone phosphate transport, cytoplasm-ER membrane		
1712			y003536	diphosphate transport, cytoplasm-ER membrane		
1713			y003537	phosphate transport, cytoplasm-ER membrane		
1714			y003538	CTP transport, cytoplasm-ER membrane		
1715			y003539	CDP transport, cytoplasm-ER membrane		
1716			y003540	CMP transport, cytoplasm-ER membrane		
1717			y003541	CDP-ethanolamine transport, cytoplasm-ER membrane		
1718			y003542	CDP-choline transport, cytoplasm-ER membrane		
1719			y003543	ATP transport, cytoplasm-ER membrane		
1720			y003544	AMP transport, cytoplasm-ER membrane		
1721			y003545	L-serine transport, cytoplasm-ER membrane		
1722			y003546	myo-inositol transport, cytoplasm-ER membrane		
1723			y003547	S-adenosyl-L-methionine transport, cytoplasm-ER membrane		
1724			y003548	S-adenosyl-L-homocysteine transport, cytoplasm-ER membrane		
1725			y003549	episterol transport, cytoplasm-ER membrane		
1726			y003550	fecosterol transport, cytoplasm-ER membrane		
1727			y003551	lanosterol transport, cytoplasm-ER membrane		
1728			y003552	ergosterol transport, cytoplasm-ER membrane		
1729			y003553	zymosterol transport, cytoplasm-ER membrane		
1730			y003570	sn-glycero-3-phosphocholine transport, ER membrane-cytoplasm		
1731			y003571	hexadecanoate (n-C16:0) transport, cytoplasm-lipid particle		
1732			y003572	hexadecenoate (n-C16:1) transport, cytoplasm-lipid particle		
1733			y003573	octadecanoate (n-C18:0) transport, cytoplasm-lipid particle		
1734			y003574	octadecenoate (n-C18:1) transport, cytoplasm-lipid particle		
1735			y003575	lauroyl-CoA transport, cytoplasm-lipid particle		
1736			y003576	myristoyl-CoA transport, cytoplasm-lipid particle		
1737			y003577	palmitoyl-CoA transport, cytoplasm-lipid particle		
1738			y003578	palmitoleoyl-CoA transport, cytoplasm-lipid particle		
1739			y003579	stearoyl-CoA transport, cytoplasm-lipid particle		
1740			y003580	oleoyl-CoA transport, cytoplasm-lipid particle		
1741			y003581	glycerol 3-phosphate transport, cytoplasm-lipid particle		
1742			y003582	dihydroxyacetone phosphate transport, cytoplasm-lipid particle		
1743			y003583	NADPH transport, cytoplasm-lipid particle		
1744			y003584	NADP(+) transport, cytoplasm-lipid particle		
1745			y003585	ATP transport, cytoplasm-lipid particle		
1746			y003586	AMP transport, cytoplasm-lipid particle		
1747			y003587	diphosphate transport, cytoplasm-lipid particle		
1748			y003596	H2O transport, cytoplasm-lipid particle		
1749			y003597	glycerol transport, lipid particle-cytoplasm		
1750			y003598	docosanoyl-CoA transport, lipid particle-cytoplasm		
1751			y003599	tetracosanoyl-CoA transport, lipid particle-cytoplasm		
1752			y003600	hexacosanoyl-CoA transport, lipid particle-cytoplasm		
1753			y003601	ATP transport, cytoplasm-cell envelope		
1754			y003602	ADP transport, cytoplasm-cell envelope		
1755			y003603	H+ transport, cytoplasm-cell envelope		
1756			y003604	H2O transport, cytoplasm-cell envelope		
1757			y003605	phosphate transport, cytoplasm-cell envelope		
1758			y003606	sn-glycero-3-phosphocholine transport, cell envelope-cytoplasm		
1759			y003607	1-(sn-glycero-3-phospho)-1D-myo-inositol transport, cell envelope-cytoplasm		
1760			y003608	palmitate transport, cell envelope-cytoplasm		
1761			y003609	palmitoleate transport, cell envelope-cytoplasm		
1762			y003610	stearate transport, cell envelope-cytoplasm		
1763			y003611	oleate transport, cell envelope-cytoplasm		
1764			y003612	icosanoyl-CoA transport, cell envelope-cytoplasm		
1765			y003613	docosanoyl-CoA transport, cell envelope-cytoplasm		
1766			y003614	tetracosanoyl-CoA transport, cell envelope-cytoplasm		
1767			y003615	hexacosanoyl-CoA transport, cell envelope-cytoplasm		
1768			y003648	H2O transport, cytoplasm-vacuolar membrane		
1769			y003649	phosphate transport, cytoplasm-vacuolar membrane		
1770			y003650	H+ transport, cytoplasm-vacuolar membrane		
1771			y003651	ATP transport, cytoplasm-vacuolar membrane		
1772			y003652	ADP transport, cytoplasm-vacuolar membrane		
1773			y003653	carbon dioxide transport, cytoplasm-vacuolar membrane		
1774			y003662	H2O transport, cytoplasm-Golgi membrane		
1775			y003663	phosphate transport, cytoplasm-Golgi membrane		
1776			y003664	H+ transport, cytoplasm-Golgi membrane		
1777			y003665	carbon dioxide transport, cytoplasm-Golgi membrane		
1778			y003666	ATP transport, cytoplasm-Golgi membrane		
1779			y003667	ADP transport, cytoplasm-Golgi membrane		
1780			y003668	H2O transport, cytoplasm-mitochondrial membrane		
1781			y003669	carbon dioxide transport, cytoplasm-mitochondrial membrane		
1782			y003670	palmitoleoyl-CoA transport, cytoplasm-mitochondrial membrane		
1783			y003671	oleoyl-CoA transport, cytoplasm-mitochondrial membrane		
1784			y003678	palmitate transport, mitochondrial membrane-cytoplasm		
1785			y003679	stearate transport, mitochondrial membrane-cytoplasm		
1786			y003680	coenzyme A transport, mitochondrial membrane-cytoplasm		
1787			y003681	laurate transport, ER membrane-lipid particle		
1788			y003682	myristate transport, ER membrane-lipid particle		
1789			y003683	lignoceric acid transport, ER membrane-lipid particle		
1790			y003684	cerotic acid transport, ER membrane-lipid particle		
1791			y003717	episterol transport, ER membrane-lipid particle		
1792			y003718	fecosterol transport, ER membrane-lipid particle		
1793			y003719	lanosterol transport, ER membrane-lipid particle		
1794			y003720	zymosterol transport, ER membrane-lipid particle		
1795			y003721	ergosteryl palmitoleate transport, ER membrane-lipid particle		
1796			y003722	ergosteryl oleate transport, ER membrane-lipid particle		
1797			y003723	episteryl palmitoleate transport, ER membrane-lipid particle		
1798			y003724	episteryl oleate transport, ER membrane-lipid particle		
1799			y003725	fecosteryl palmitoleate transport, ER membrane-lipid particle		
1800			y003726	fecosteryl oleate transport, ER membrane-lipid particle		
1801			y003727	lanosteryl palmitoleate transport, ER membrane-lipid particle		
1802			y003728	lanosteryl oleate transport, ER membrane-lipid particle		
1803			y003729	zymosteryl palmitoleate transport, ER membrane-lipid particle		
1804			y003730	zymosteryl oleate transport, ER membrane-lipid particle		
1805			y003901	lignoceric acid transport, cell envelope-ER membrane		
1806			y003902	cerotic acid transport, cell envelope-ER membrane		
1807			y003927	zymosteryl palmitoleate transport, ER membrane-cell envelope		
1808			y003928	zymosteryl oleate transport, ER membrane-cell envelope		
1809			y003937	lignoceric acid transport, ER membrane-ER		
1810			y003938	cerotic acid transport, ER membrane-ER		
1811			y003939	ergosterol transport, ER-ER membrane		
1812			y003940	phosphate transport, ER-ER membrane		
1813			y003957	H+ transport, mitochondrion-mitochondrial membrane		
1814			y003958	glycerol 3-phosphate transport, mitochondrion-mitochondrial membrane		
1815			y003959	CMP transport, mitochondrion-mitochondrial membrane		
1816			y003960	CTP transport, mitochondrion-mitochondrial membrane		
1817			y003961	phosphate transport, mitochondrion-mitochondrial membrane		
1818			y003962	diphosphate transport, mitochondrion-mitochondrial membrane		
1819			y003987	phosphatidyl-L-serine transport, ER membrane-cytoplasm		
1820			y003996	phosphatidylcholine transport, ER membrane-cytoplasm		
1821			y004005	phosphatidylethanolamine transport, ER membrane-cytoplasm		
1822			y004038	triglyceride transport, ER membrane-cytoplasm		
1823			y004039	succinyl-CoA:acetate CoA transferase		
1824			y004040	heme a transport		
1825			y004042	raffinose invertase		
1826			y004043	raffinose exchange		
1827			y004045	uridine hydrolase		
1828			y102462	lysoPI acyltransferase, ER membrane		
1829			y102512	DAG kinase		
1830			y102542	PGP phosphatase		
1831			y102584	CL phospholipase		
1832			y102620	MLCL:PC acyltransferase		
1833			y102812	lysoPC acyltransferase, mitochondrial membrane		
1834			y102884	PE diacylglycerol acyltransferase		
1835			y102948	PC diacylglycerol acyltransferase		
1836			y103022	PC phospholipase B		
1837			y103030	LPC phospholipase B		
1838			y103034	PC phospholipase B		
1839			y103042	LPC phospholipase B		
1840			y103046	PE phospholipase B		
1841			y103054	LPE phospholipase B		
1842			y103058	PS phospholipase B		
1843			y103066	LPS phospholipase B		
1844			y103070	PI phospholipase B		
1845			y103078	LPI phospholipase B		
1846			y103082	PI 4,5-P2 phospholipase C		
1847			y103090	PI 4,5-P2 phospholipase C		
1848			y103098	PG phospholipase C		
1849			y103112	PI 3-P phosphatase		
1850			y103120	PI 3-P phosphatase		
1851			y103128	PI 3-P phosphatase		
1852			y103136	PI 3-P phosphatase		
1853			y103144	PI 4-P phosphatase		
1854			y103152	PI 4-P phosphatase		
1855			y103160	PI 4-P phosphatase		
1856			y103168	PI 4-P phosphatase		
1857			y103176	PI 3,5-P2 phosphatase		
1858			y103184	PI 3,5-P2 phosphatase		
1859			y103192	PI 4,5-P2 phosphatase		
1860			y103200	PI 4,5-P2 phosphatase		
1861			y103208	PI 4,5-P2 phosphatase		
1862			y103216	PI 3,5-P2 phosphatase		
1863			y103224	DGPP phosphatase		
1864			y103232	DGPP phosphatase		
1865			y103240	lysoPA phosphatase, cytoplasm		
1866			y103244	lysoPA phosphatase, vacuolar membrane		
1867			y103248	lysoPA phosphatase, Golgi membrane		
1868			y103296	DAG lipase, lipid particle		
1869			y103304	DAG lipase, mitochondrion		
1870			y103308	MAG lipase		
1871			y103312	lysoPE acyltransferase, lipid particle		
1872			y103316	PC phospholipase A2, lipid particle		
1873			y103324	PE phospholipase A2, lipid particle		
1874			y103332	PA kinase, Golgi membrane		
1875			y103340	PA kinase, vacuolar membrane		
1876			y103554	diglyceride transport, cytoplasm-ER membrane		
1877			y103562	1-phosphatidyl-1D-myo-inositol transport, cytoplasm-ER membrane		
1878			y103588	diglyceride transport, cytoplasm-lipid particle		
1879			y103616	1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate transport, cell envelope-cytoplasm		
1880			y103624	1-phosphatidyl-1D-myo-inositol 4-phosphate transport, cell envelope-cytoplasm		
1881			y103632	1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate transport, nucleus-cytoplasm		
1882			y103640	diglyceride transport, nucleus-cytoplasm		
1883			y103654	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate transport, vacuolar membrane-cytoplasm		
1884			y103672	diglyceride transport, mitochondrial membrane-cytoplasm		
1885			y103685	TAG transport, ER membrane-lipid particle		
1886			y103731	phosphatidylcholine transport, ER membrane-lipid particle		
1887			y103739	phosphatidylethanolamine transport, ER membrane-lipid particle		
1888			y103747	1-acylglycerophosphocholine transport, ER membrane-lipid particle		
1889			y103751	1-acylglycerophosphoethanolamine transport, ER membrane-lipid particle		
1890			y103755	phosphatidate transport, lipid particle-ER membrane		
1891			y103759	phosphatidate transport, ER membrane-mitochondrial membrane		
1892			y103765	phosphatidyl-L-serine transport, ER membrane-mitochondrial membrane		
1893			y103773	phosphatidylethanolamine transport, mitochondrial membrane-ER membrane		
1894			y103781	phosphatidylcholine transport, ER membrane-mitochondrial membrane		
1895			y103789	diglyceride transport, ER membrane-Golgi membrane		
1896			y103797	phosphatidate transport, ER membrane-Golgi membrane		
1897			y103805	1-phosphatidyl-1D-myo-inositol transport, ER membrane-Golgi membrane		
1898			y103813	phosphatidyl-L-serine transport, ER membrane-Golgi membrane		
1899			y103821	phosphatidylethanolamine transport, Golgi membrane-ER membrane		
1900			y103829	phosphatidate transport, ER membrane-vacuolar membrane		
1901			y103837	1-phosphatidyl-1D-myo-inositol transport, ER membrane-vacuolar membrane		
1902			y103845	phosphatidyl-L-serine transport, ER membrane-vacuolar membrane		
1903			y103853	phosphatidylethanolamine transport, vacuolar membrane-ER membrane		
1904			y103861	1-phosphatidyl-1D-myo-inositol 3-phosphate transport, vacuolar membrane-ER membrane		
1905			y103869	1-phosphatidyl-1D-myo-inositol transport, ER membrane-cell envelope		
1906			y103877	phosphatidylcholine transport, ER membrane-cell envelope		
1907			y103885	phosphatidylethanolamine transport, ER membrane-cell envelope		
1908			y103893	phosphatidyl-L-serine transport, ER membrane-cell envelope		
1909			y103903	phosphatidate transport, cell envelope-ER membrane		
1910			y103911	1-phosphatidyl-1D-myo-inositol 4-phosphate transport, cell envelope-ER membrane		
1911			y103919	1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate transport, cell envelope-ER membrane		
1912			y103929	1-phosphatidyl-1D-myo-inositol transport, ER membrane-nucleus		
1913			y103941	1-phosphatidyl-1D-myo-inositol 3-phosphate transport, vacuolar membrane-Golgi membrane		
1914			y103949	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate transport, vacuolar membrane-cell envelope		
1915			y200001	glycinamide ribonucleotide transformylase		
1916			y200002	mannitol dehydrogenase		
1917			y200004	extracellular tributyrin hydrolysis		
1918			y200005	extracellular dibutyrin hydrolysis		
1919			y200006	extracellular monobutyrate hydrolysis		
1920			y200007	fatty-acid--CoA ligase (butyrate)		
1921			y200008	O-succinylhomoserine lyase (elimination)		
1922			y200009	acyldihydroxyacetonephosphate reductase		
1923			y200011	nucleotidase (NMN)		
1924			y200012	nucleotidase (nicotinate D-ribonucleotide)		
1925			y200013	nicotinate riboside kinase		
1926			y200014	empty		
1927			y200015	ATP:pantothenate 4'-phosphotransferase		
1928			y200016	ATP:pantothenate 4'-phosphotransferase		
1929			y200017	UDP-glucose:NAD+ 6-oxidoreductase		
1930			y200018	ATP:D-Gluconate 6-phosphotransferase		
1931			y200019	ADP-ribose ribophosphohydrolase		
1932			y200020	ribonucleotide reductase		
1933			y200021	ribonucleotide reductase		
1934			y200022	ATP:cytidine 5'-phosphotransferase		
1935			y200023	UTP:cytidine 5'-phosphotransferase		
1936			y200024	ITP:cytidine 5'-phosphotransferase		
1937			y200025	UTP:uridine 5'-phosphotransferase		
1938			y200026	ITP:uridine 5'-phosphotransferase		
1939			y200027	dATP:cytidine 5'-phosphotransferase		
1940			y200028	dATP:uridine 5'-phosphotransferase		
1941			y200029	dGTP:uridine 5'-phosphotransferase		
1942			y200030	dGTP:cytidine 5'-phosphotransferase		
1943			y200031	dTTP:cytidine 5'-phosphotransferase		
1944			y200032	dTTP:uridine 5'-phosphotransferase		
1945			y200033	dCTP:uridine 5'-phosphotransferase		
1946			y200034	dUTP:uridine 5'-phosphotransferase		
1947			y200035	dCTP:cytidine 5'-phosphotransferase		
1948			y200036	dUTP:cytidine 5'-phosphotransferase		
1949			y300001	decane transport e--c		
1950			y300002	hexadecane transport e--c		
1951			y300003	alkane oxidase (C10)		
1952			y300004	long-chain alcohol dehydrogenase (C10)		
1953			y300005	alkane oxidase (C12)		
1954			y300006	long-chain alcohol dehydrogenase (C12)		
1955			y300007	alkane oxidase (C16)		
1956			y300008	long-chain alcohol dehydrogenase (C16)		
1957			y300009	oleoyl-CoA desaturase (n-C18:1CoA - n-C18:2CoA), ER membrane		
1958			y300010	fatty-acid--CoA ligase (octadecadienoate), ER membrane		
1959			y300011	fatty-acid--CoA ligase (octadecadienoate), lipid particle		
1960			y300012	fatty-acid--CoA ligase (octadecadienoate), peroxisome		
1961			y300013	peroxisomal acyl-CoA thioesterase (18:2)		
1962			y300014	fatty acyl-CoA transport via ABC system (C18:2)		
1963			y300015	isocitrate transport		
1964			y300016	octadecenoate (n-C18:1) transport		
1965			y300017	octadecenoate (n-C18:1) transport, cytoplasm-peroxisome		
1966			y300018	linoleoyl-CoA transport, cytoplasm-ER membrane		
1967			y300019	linoleoyl-CoA transport, cytoplasm-lipid particle		
1968			y300020	linoleoyl-CoA transport, cytoplasm-mitochondrial membrane		
1969			y300021	dodecane transport e--c		
1970			y300022	long-chain alcohol oxidase (C10)		
1971			y300023	long-chain alcohol oxidase (C12)		
1972			y300024	long-chain alcohol oxidase (C16)		
1973			y300025	long-chain aldehyde dehydrogenase (C10)		
1974			y300026	long-chain aldehyde dehydrogenase (C12)		
1975			y300027	long-chain aldehyde dehydrogenase (C16)		
1976			y300028	octadecenoate (n-C18:1) transport		
1977			y300029	NADH dehydrogenase (complex I)		
1978			y300030	Leucine transport		
1979			y300031	xanthine dehydrogenase		
1980			y300032	urate oxidase		
1981			y300033	hydroxyisourate hydrolase		
1982			y300034	OHCU decarboxylase		
1983			y300035	4-hydroxyphenylpyruvate dioxygenase		
1984			y300036	homogentisate 1,2-dioxygenase		
1985			y300039	erythrose kinase		
1986			y300040	erythrose reductase		
1987			y300041	erythritol transport extracellular		
1988			y300042	arabinitol dehydrogenase		
1989			y300043	mannitol transport extracellular		
1990			y300044	4-methyl-2-oxopentanoate dehydrogenase		
1991			y300045	3-methyl-2-oxopentanoate dehydrogenase		
1992			y300046	(S)3-methyl-2-oxopentanoate dehydrogenase		
1993			y300047	3-methylbutanoyl-CoA dehydrogenase;		
1994			y300049	3-methylglutaconyl-CoA dehydratase		
1995			y300050	hydroxymethylglutaryl-CoA lyase		
1996			y300051	2-oxoadipate dehydrogenase		
1997			y300052	glutaryl-CoA dehydrogenase		
1998			y300054	crotonyl-CoA hydratase		
1999			y300055	(S)-3-Hydroxybutanoyl-CoA oxidoreductase		
2000			y300056	cellobiose glucohydrolase		
2001			y300057	L-Glutamate 5-semialdehyde:NAD+ oxidoreductase		
2002			y300058	5-oxo-L-proline amidohydrolase (ATP-hydrolysing)		
2003			y300059	succinyl-CoA:acetoacetate CoA-transferase		
2004			y300060	GTP diphosphohydrolase (diphosphate-forming);		
2005			y300061	GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming)		
2006			y300062	L-aspartate 1-carboxy-lyase (beta-alanine-forming)		
2007			y300063	glutathione gamma-glutamylaminopeptidase		
2008			y300064	3'-Phospho-5'-adenylyl sulfate 3'-phosphohydrolase		
2009			y300065	L-Serine:pyruvate aminotransferase		
2010			y300066	L-Serine:glyoxylate aminotransferase		
2011			y300067	serine racemase		
2012			y300068	L-Serine hydro-lyase		
2013			y300069	Uridine triphosphate pyrophosphohydrolase		
2014			y300070	Inosine 5'-triphosphate pyrophosphohydrolase		
2015			y300071	2'-Deoxyguanosine 5'-triphosphate diphosphohydrolase		
2016			y300072	ATP:D-glucosamine 6-phosphotransferase		
2017			y300073	N-Acetyl-D-glucosamine-6-phosphate amidohydrolase		
2018			y300074	dTDP phosphohydrolase		
2019			y300075	dTTP nucleotidohydrolase		
2020			y300076	dihydrofolate:NADP+ oxidoreductase		
2021			y300077	dihydrofolate:NADP+ oxidoreductase		
2022			y300078	2'-Deoxyinosine-5'-triphosphate pyrophosphohydrolase		
2023			y300079	glycerol transport, mm - cy		
2024			y300080	EXC_OUT_m1803		
2025			y300081	EXC_OUT_m1826		
2026			y300082	EXC_OUT_m1824		
2027	ACRNtp	acetylcarnitine transport out of peroxisome				
2028					R2012	N-Acetyl-D-Glucosamine transport
2029					R526	leukotriene A4 hydrolase
2030					R978	4-hydroxybenzoate transport
2031					R2179	Geranyl-diphosphate:isopentenyl-diphosphate geranyltrans-transferase
2032	DDCDHG	dodecanaldehyde dehydrogenase				
2033					R873	L-carnitine transport
2034					R1208	L-erythro-4-hydroxyglutamate transport
2035					R2219	fatty acyl ACP mitochondrial transport
2036					R1336	tetracosanoyl-CoA transport
2037	SUCCt2r	succinate transport via proton symport				
2038					R560	N-acetyl-g-glutamyl-phosphate reductase
2039					R866	L-alanine transport
2040	XANt	xanthine reversible transport				
2041					R1621	myristoyl-CoA transport, cytoplasm-lipid particle
2042					R1899	O-succinylhomoserine lyase (elimination)
2043					R2122	primary-amine oxidase
2044					R1495	acyl-CoA oxidase (cis-dodec-5-enoyl-CoA)
2045					R766	transketolase 2
2046					R175	biotin-[acetyl-CoA-carboxylase] ligase
2047	HDCDHG	hexadecanaldehyde dehydrogenase				
2048	HACDDC12p	3-hydroxyacyl-CoA dehydrogenase (3-oxododecanedioyl-CoA), peroxisomal				
2049					R1747	PI 3-P phosphatase
2050					R1255	MIPC transport
2051	PSERDg_SC	phosphatidylserine decarboxylase yeast specific Golgi				
2052					R1506	2-enoyl-CoA hydratase (3-hydroxyhexanoyl-CoA)
2053					R7	1-phosphatidylinositol-3-phosphate 5-kinase
2054					R715	S-adenosyl-L-methionine:3-hexaprenyl-4,5-dihydroxylate O-methyltransferase
2055					R489	isocitrate dehydrogenase (NADP+), peroxisomal
2056					R1341	thiamine(1+) monophosphate exchange
2057	GTHOXti	oxidized glutathione irreversible uniport				
2058	MCOATAm	Malonyl CoA ACP transacylase mitochondrial				
2059			y001845	indole-3-acetaldehyde transport		
2060					R695	quinone oxidoreductase
2061	ACAT_lanost	ACAT lanost				
2062	DPCOAKm	dephospho CoA kinase mitochondrial				
2063					R1416	B-ketoacyl-CoA reductase (3-hydroxyicosanoyl-CoA)
2064					R2284	(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA:NAD+ oxidoreductase
2065					R841	D-lactate transport
2066					R1553	delta(3,5)-delta(2,4)-dienoyl-CoA isomerase (trans-3,cis-5-tetradecadienoyl-CoA)
2067					R947	(R,R)-2,3-butanediol exchange
2068	RNDR1n	ribonucleoside diphosphate reductase nuclear				
2069					R347	glycerol-3-phosphate dehydrogenase (fad)
2070					R1729	PC diacylglycerol acyltransferase
2071					R795	V-ATPase, vacuole
2072					R897	L-tyrosine transport
2073					R1244	M(IP)2C transport
2074					R1686	lanosteryl palmitoleate transport, ER membrane-lipid particle
2075					R277	dihydropteroate synthase
2076					R1744	PI 3-P phosphatase
2077					R1820	inositolphosphotransferase
2078					R587	nucleoside diphosphatase
2079					R1493	acyl-CoA oxidase (palmitoleoyl-CoA)
2080					R79	acetyl-CoA C-acyltransferase (palmitoyl-CoA)
2081	L_LACt2r	L lactate reversible transport via proton symport				
2082	DHNPTtm	dhnpt mitochondrial transport				
2083					R1875	isocitrate transport
2084					R956	2'-deoxyinosine exchange
2085					R1519	3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)
2086					R591	nucleoside diphosphate kinase
2087	O2tm	O2 transport diffusion				
2088					R1107	ergosta-5,6,22,24,(28)-tetraen-3beta-ol transport
2089					R1396	B-ketoacyl-ACP synthase (3-oxo-octanoyl-ACP)
2090					R1915	ATP:cytidine 5'-phosphotransferase
2091					R2273	triolein exchange
2092	coatp	CoA transport peroxisome YL				
2093					R484	IPS phospholipase C
2094	RIBFLVt2	riboflavin transport in via proton symport				
2095					R98	acyl-CoA oxidase (dodecanoyl-CoA)
2096					R1695	cerotic acid transport, ER membrane-ER
2097					R1123	myristate (n-C14:0) transport
2098					R1595	glycerol 3-phosphate transport, cytoplasm-ER membrane
2099	HACD10p	3 hydroxyacyl CoA dehydrogenase 3 oxohexacosyl CoA peroxisomal				
2100	CITtbm	citrate transport mitochondrial				
2101					R1453	fatty-acid--CoA ligase (hexadecanoate), lipid particle
2102					R2035	L-alanine transport (vacuole)
2103					R2193	iron (II) transport
2104	ECOAHDC12p	3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanedioyl-CoA), peroxisomal				
2105					R1436	octanoate (n-C8:0) transport
2106	OXO2Ctm	2 oxodicarboylate transporter mitochondrial				
2107					R1001	acetyl-CoA transport
2108					R2276	D-Limonene synthase
2109					R146	Aminobutyraldehyde dehydrogenase
2110					R521	leucine transaminase
2111					R1063	D-arabinose transport
2112					R1573	stearate transport, cytoplasm-ER membrane
2113					R1755	PI 4,5-P2 phosphatase
2114					R227	cis-prenyltransferase step 11
2115					R1445	fatty-acid--CoA ligase (dodecanoate), ER membrane
2116					R1785	TAG transport, ER membrane-lipid particle
2117	ETOHt	ethanol reversible transport				
2118	CSNt2	cytosine transport in via proton symport				
2119					R1494	acyl-CoA oxidase (cis-tetradec-7-enoyl-CoA)
2120					R1579	palmitoleoyl-CoA transport, cytoplasm-ER membrane
2121					R1835	phosphatidylethanolamine methyltransferase
2122	FA40tp	fatty acid peroxisomal transport YL				
2123					R674	protoporphyrinogen oxidase
2124					R740	succinate dehydrogenase (ubiquinone-6)
2125	ATPtp_H	ADPATP transporter peroxisomal YL				
2126	SO4ti	sulfate irreversible uniport				
2127					R429	IPS phospholipase C
2128					R2034	cytosol nonspecific dipeptidase
2129	HMGCOASm	Hydroxymethylglutaryl CoA synthase mitochondrial				
2130					R924	spermidine transport
2131					R839	D-fructose transport
2132	HACD5p	3 hydroxyacyl CoA dehydrogenase 3 oxodecanoyl CoA peroxisomal				
2133					R435	IPS phospholipase C
2134					R1583	docosanoyl-CoA transport, cytoplasm-ER membrane
2135					R868	L-asparagine transport
2136					R2099	3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase
2137					R920	S-adenosyl-L-methionine transport
2138					R1679	zymosterol transport, ER membrane-lipid particle
2139					R1468	fatty-acid--CoA ligase (lignoceric acid), lipid particle
2140					R1701	CTP transport, mitochondrion-mitochondrial membrane
2141					R590	nucleoside diphosphate kinase
2142	DDPAm	2 deoxy D arabino heptulosonate 7 phosphate synthetase mitochondrial				
2143	EX_thmmp_LPAREN_e_RPAREN_	Thiamin monophosphate exchange				
2144					R1638	ATP transport, cytoplasm-cell envelope
2145					R477	IPS phospholipase C
2146	PTD1INOtn_SC	phosphatidyl 1D myo insoitol nuclear transport yeast specific				
2147					R855	glycero-3-phosphocholine transport
2148	BUCAt	butanoate n C40 transport in via uniport YL				
2149					R1962	erythrose reductase
2150					R450	IPS phospholipase C
2151					R279	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)
2152					R1925	dTTP:uridine 5'-phosphotransferase
2153					R1739	LPI phospholipase B
2154					R2164	Ceramide-3 (Phytosphingosine:n-C26:0OH)transport
2155					R2051	phosphatidylethanolamine transport
2156					R965	2-oxoglutarate transport
2157	GLUt2n	glutamate nuclear transport via proton symport				
2158	HACD4p	3 hydroxyacyl CoA dehydrogenase 3 oxodecanoyl CoA peroxisomal				
2159					R1042	choline transport
